section_id,title,status,md_tables,md_rows,db_tables,db_rows,coverage_pct,issue_types,details
2-10-5,조립식 간이흙막이 설치 및 해체,FAIL,3,11,1,3,27.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 3행 (coverage 27.3%) | 원본 3개 vs DB 1개 테이블
2-4-6,하수관 준설(버킷식),FAIL,3,11,1,3,27.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 3행 (coverage 27.3%) | 원본 3개 vs DB 1개 테이블
6-7-6,PC거더 설치,FAIL,3,18,1,5,27.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 18행 vs DB 5행 (coverage 27.8%) | 원본 3개 vs DB 1개 테이블
5-4-4,단열재 핀사용 붙이기,FAIL,10,28,3,8,28.6,ROW_MISSING;TABLE_COUNT_DIFF,원본 28행 vs DB 8행 (coverage 28.6%) | 원본 10개 vs DB 3개 테이블
1-4-1,인력식 소규모장비 포설,FAIL,3,17,1,5,29.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 17행 vs DB 5행 (coverage 29.4%) | 원본 3개 vs DB 1개 테이블
3-4-4,뒤채움 및 다짐(소형장비),FAIL,5,17,1,5,29.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 17행 vs DB 5행 (coverage 29.4%) | 원본 5개 vs DB 1개 테이블
12-2-2,계량기 설치,FAIL,2,30,1,9,30.0,ROW_MISSING,원본 30행 vs DB 9행 (coverage 30.0%)
7-1-2,예인선 조합,FAIL,3,10,1,3,30.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 10행 vs DB 3행 (coverage 30.0%) | 원본 3개 vs DB 1개 테이블
9-4-1,"노선측량(철도, 도로 신설)",FAIL,8,40,2,12,30.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 40행 vs DB 12행 (coverage 30.0%) | 원본 8개 vs DB 2개 테이블
2-1-5,인방보 설치,FAIL,12,23,2,7,30.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 23행 vs DB 7행 (coverage 30.4%) | 원본 12개 vs DB 2개 테이블
2-4-2,하수관 세정,FAIL,6,13,1,4,30.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 4행 (coverage 30.8%) | 원본 6개 vs DB 1개 테이블
3-2-3,흙깎기(기계),FAIL,7,26,4,8,30.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 26행 vs DB 8행 (coverage 30.8%) | 원본 7개 vs DB 4개 테이블
5-3-2,말뚝박기용 천공,FAIL,22,71,5,23,32.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 71행 vs DB 23행 (coverage 32.4%) | 원본 22개 vs DB 5개 테이블
2-1-13,일체형 맨홀추락방지망 설치(보도구간),FAIL,2,12,1,4,33.3,ROW_MISSING,원본 12행 vs DB 4행 (coverage 33.3%)
2-1-18,표면평탄작업,FAIL,3,9,1,3,33.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 3행 (coverage 33.3%) | 원본 3개 vs DB 1개 테이블
2-4-1,강관 지주 설치 및 해체,FAIL,3,9,1,3,33.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 3행 (coverage 33.3%) | 원본 3개 vs DB 1개 테이블
2-7-3,강관틀 비계 설치 및 해체,FAIL,3,6,1,2,33.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 6행 vs DB 2행 (coverage 33.3%) | 원본 3개 vs DB 1개 테이블
3-2-7,도배 해체,FAIL,4,6,1,2,33.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 6행 vs DB 2행 (coverage 33.3%) | 원본 4개 vs DB 1개 테이블
3-3-6,암발파(대규모발파 TYPE-Ⅵ),FAIL,8,24,4,8,33.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 24행 vs DB 8행 (coverage 33.3%) | 원본 8개 vs DB 4개 테이블
4-2-3,식재(군식(群植)),FAIL,3,12,1,4,33.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 12행 vs DB 4행 (coverage 33.3%) | 원본 3개 vs DB 1개 테이블
6-5-2,액상형 흡수방지방수 도포,FAIL,6,9,1,3,33.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 3행 (coverage 33.3%) | 원본 6개 vs DB 1개 테이블
3-4-7,되메우기 및 다짐(대형장비),FAIL,3,17,1,6,35.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 17행 vs DB 6행 (coverage 35.3%) | 원본 3개 vs DB 1개 테이블
3-8-1,패널 설치,FAIL,4,14,1,5,35.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 14행 vs DB 5행 (coverage 35.7%) | 원본 4개 vs DB 1개 테이블
9-1-2,1급 기준점 측량,FAIL,10,42,4,15,35.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 42행 vs DB 15행 (coverage 35.7%) | 원본 10개 vs DB 4개 테이블
4-2-2,궤도양로,FAIL,2,11,1,4,36.4,ROW_MISSING,원본 11행 vs DB 4행 (coverage 36.4%)
8-2-7,모터 그레이더,FAIL,4,19,1,7,36.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 19행 vs DB 7행 (coverage 36.8%) | 원본 4개 vs DB 1개 테이블
2-11-9,지능형 출입관리 설치 및 해체,FAIL,4,8,1,3,37.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 8행 vs DB 3행 (coverage 37.5%) | 원본 4개 vs DB 1개 테이블
1-8-13,유색포장(미끄럼방지),FAIL,4,13,2,5,38.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 5행 (coverage 38.5%) | 원본 4개 vs DB 2개 테이블
8-5-9,[80]스마트 건설장비,FAIL,2,75,2,29,38.7,ROW_MISSING,원본 75행 vs DB 29행 (coverage 38.7%)
10-7-2,스프링클러 전기설비설치,FAIL,7,10,1,4,40.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 10행 vs DB 4행 (coverage 40.0%) | 원본 7개 vs DB 1개 테이블
3-2-5,터널굴착 1발파당 작업인원,FAIL,5,15,2,6,40.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 15행 vs DB 6행 (coverage 40.0%) | 원본 5개 vs DB 2개 테이블
7-2-4,수상고르기,FAIL,3,10,1,4,40.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 10행 vs DB 4행 (coverage 40.0%) | 원본 3개 vs DB 1개 테이블
8-2-2,리퍼(유압식),FAIL,8,25,2,10,40.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 25행 vs DB 10행 (coverage 40.0%) | 원본 8개 vs DB 2개 테이블
8-4-2,[10]다짐기계,FAIL,7,79,3,32,40.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 79행 vs DB 32행 (coverage 40.5%) | 원본 7개 vs DB 3개 테이블
5-1-2,H-Beam 설치,FAIL,16,44,2,18,40.9,ROW_MISSING;TABLE_COUNT_DIFF,원본 44행 vs DB 18행 (coverage 40.9%) | 원본 16개 vs DB 2개 테이블
6-3-2,강재거푸집 설치 및 해체,FAIL,5,39,4,16,41.0,ROW_MISSING,원본 39행 vs DB 16행 (coverage 41.0%)
3-3-1,암발파(미진동굴착 TYPE-Ⅰ),FAIL,7,29,5,12,41.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 29행 vs DB 12행 (coverage 41.4%) | 원본 7개 vs DB 5개 테이블
2-2-3,가설시설물,FAIL,11,62,5,26,41.9,ROW_MISSING;TABLE_COUNT_DIFF,원본 62행 vs DB 26행 (coverage 41.9%) | 원본 11개 vs DB 5개 테이블
4-3-1,뿌리돌림,FAIL,7,31,3,13,41.9,ROW_MISSING;TABLE_COUNT_DIFF,원본 31행 vs DB 13행 (coverage 41.9%) | 원본 7개 vs DB 3개 테이블
1-2-12,예초,FAIL,10,19,4,8,42.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 19행 vs DB 8행 (coverage 42.1%) | 원본 10개 vs DB 4개 테이블
1-6-4,콘크리트 표층 기계포설(대형장비),FAIL,2,14,1,6,42.9,ROW_MISSING,원본 14행 vs DB 6행 (coverage 42.9%)
1-7-4,투수아스팔트 표층 기계포설(소형장비),FAIL,4,16,1,7,43.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 16행 vs DB 7행 (coverage 43.8%) | 원본 4개 vs DB 1개 테이블
12-2-4,Control Air 배관,FAIL,2,16,1,7,43.8,ROW_MISSING,원본 16행 vs DB 7행 (coverage 43.8%)
5-1-3,H-Beam 철거,FAIL,17,48,3,21,43.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 48행 vs DB 21행 (coverage 43.8%) | 원본 17개 vs DB 3개 테이블
13-7-3,노체 4본주 및 DECK 설치,FAIL,3,18,1,8,44.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 18행 vs DB 8행 (coverage 44.4%) | 원본 3개 vs DB 1개 테이블
3-2-4,터파기(기계),FAIL,16,36,8,16,44.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 36행 vs DB 16행 (coverage 44.4%) | 원본 16개 vs DB 8개 테이블
4-4-3,잔디블록 포장,FAIL,3,9,1,4,44.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 4행 (coverage 44.4%) | 원본 3개 vs DB 1개 테이블
13-9-4,오수처리시설 설치,FAIL,6,11,3,5,45.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 5행 (coverage 45.5%) | 원본 6개 vs DB 3개 테이블
6-4-2,PSC BOX 설치,FAIL,10,37,6,17,45.9,ROW_MISSING;TABLE_COUNT_DIFF,원본 37행 vs DB 17행 (coverage 45.9%) | 원본 10개 vs DB 6개 테이블
1-8-11,중앙분리대 설치(가드레일식),FAIL,3,13,1,6,46.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 6행 (coverage 46.2%) | 원본 3개 vs DB 1개 테이블
13-7-20,Roller Table 조립설치,FAIL,2,17,1,8,47.1,ROW_MISSING,원본 17행 vs DB 8행 (coverage 47.1%)
2-2-8,분기기교환(인력),FAIL,2,17,1,8,47.1,ROW_MISSING,원본 17행 vs DB 8행 (coverage 47.1%)
4-1-7,일반기계설비 철거 및 이설,FAIL,4,17,1,8,47.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 17행 vs DB 8행 (coverage 47.1%) | 원본 4개 vs DB 1개 테이블
6-6-1,교량받침 설치(육상),FAIL,9,63,3,30,47.6,ROW_MISSING;TABLE_COUNT_DIFF,원본 63행 vs DB 30행 (coverage 47.6%) | 원본 9개 vs DB 3개 테이블
1-6-1,폴리부틸렌(PB) 일반접합 및 배관,WARN,2,10,1,5,50.0,ROW_PARTIAL,원본 10행 vs DB 5행 (coverage 50.0%)
3-4-2,작업대차 조립 및 해체,WARN,6,12,3,6,50.0,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 12행 vs DB 6행 (coverage 50.0%) | 원본 6개 vs DB 3개 테이블
4-3-4,목재데크 설치,WARN,2,8,1,4,50.0,ROW_PARTIAL,원본 8행 vs DB 4행 (coverage 50.0%)
4-3-5,식재(흉고직경),WARN,2,18,1,9,50.0,ROW_PARTIAL,원본 18행 vs DB 9행 (coverage 50.0%)
4-4-5,녹지경계분리재 설치,WARN,2,4,1,2,50.0,ROW_PARTIAL,원본 4행 vs DB 2행 (coverage 50.0%)
7-1-4,카운터형 세면기 설치(일체형),WARN,6,10,1,5,50.0,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 10행 vs DB 5행 (coverage 50.0%) | 원본 6개 vs DB 1개 테이블
8-6-2,건타입 오일버너,WARN,2,8,1,4,50.0,ROW_PARTIAL,원본 8행 vs DB 4행 (coverage 50.0%)
9-1-4,3급 기준점 측량,WARN,10,28,3,14,50.0,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 28행 vs DB 14행 (coverage 50.0%) | 원본 10개 vs DB 3개 테이블
9-5-2,대공표지,WARN,6,22,3,11,50.0,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 22행 vs DB 11행 (coverage 50.0%) | 원본 6개 vs DB 3개 테이블
1-1-4,용접공수 산정방법,WARN,8,42,6,22,52.4,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 42행 vs DB 22행 (coverage 52.4%) | 원본 8개 vs DB 6개 테이블
2-1-20,재래난간 철거공,WARN,2,15,1,8,53.3,ROW_PARTIAL,원본 15행 vs DB 8행 (coverage 53.3%)
13-7-18,가열로 및 균열로 부속기기 조립설치,WARN,2,13,1,7,53.8,ROW_PARTIAL,원본 13행 vs DB 7행 (coverage 53.8%)
2-4-10,빗물받이 준설(흡입식),WARN,8,13,4,7,53.8,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 13행 vs DB 7행 (coverage 53.8%) | 원본 8개 vs DB 4개 테이블
3-7-4,절토사면 녹화,WARN,12,42,5,23,54.8,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 42행 vs DB 23행 (coverage 54.8%) | 원본 12개 vs DB 5개 테이블
1-6-2,표층 인력포설,WARN,3,9,2,5,55.6,ROW_PARTIAL,원본 9행 vs DB 5행 (coverage 55.6%)
13-7-1,고로본체 및 부속기기 설치,WARN,2,14,1,8,57.1,ROW_PARTIAL,원본 14행 vs DB 8행 (coverage 57.1%)
3-3-2,재도장 시 바탕처리(철재면),WARN,4,7,1,4,57.1,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 7행 vs DB 4행 (coverage 57.1%) | 원본 4개 vs DB 1개 테이블
6-5-1,빔 가설공,WARN,2,14,1,8,57.1,ROW_PARTIAL,원본 14행 vs DB 8행 (coverage 57.1%)
8-2-3,굴착기,WARN,8,42,6,24,57.1,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 42행 vs DB 24행 (coverage 57.1%) | 원본 8개 vs DB 6개 테이블
1-8-9,차선도색,WARN,15,33,8,19,57.6,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 33행 vs DB 19행 (coverage 57.6%) | 원본 15개 vs DB 8개 테이블
2-1-2,현장사무소 등의 규모(건축 및 기계설비),WARN,12,66,7,38,57.6,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 66행 vs DB 38행 (coverage 57.6%) | 원본 12개 vs DB 7개 테이블
9-2-2,1급 수준측량,WARN,12,31,4,18,58.1,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 31행 vs DB 18행 (coverage 58.1%) | 원본 12개 vs DB 4개 테이블
5-2-3,플라스틱 보드 드레인(PBD),WARN,11,41,5,24,58.5,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 41행 vs DB 24행 (coverage 58.5%) | 원본 11개 vs DB 5개 테이블
7-1-3,준설선 선단 조합,WARN,8,34,3,20,58.8,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 34행 vs DB 20행 (coverage 58.8%) | 원본 8개 vs DB 3개 테이블
9-5-9,정밀도로지도 구축,WARN,8,44,6,26,59.1,ROW_PARTIAL;TABLE_COUNT_DIFF,원본 44행 vs DB 26행 (coverage 59.1%) | 원본 8개 vs DB 6개 테이블
